report_date,campaign_name,ad_group_name,ad_name,impressions,clicks,cost,cv,sales
2025/01/05,CPN_B,ADG_3,AD_え,1386143,264104,1941486915,22114,252922000
2025/01/05,CPN_C,ADG_4,AD_お,2007094,379895,2662034633,16775,73661303
2025/01/06,CPN_A,ADG_1,AD_あ,2964890,562585,2958190722,20063,190970063
2025/01/06,CPN_A,ADG_2,AD_い,1734449,347783,1038697251,26262,155037171
2025/01/06,CPN_B,ADG_3,AD_う,1513296,187414,1701665126,3755,28098392
2025/01/06,CPN_B,ADG_3,AD_え,2139738,301535,2850235923,6914,54643082
2025/01/06,CPN_C,ADG_4,AD_お,1288386,261105,1771728794,23262,179840984
2025/01/07,CPN_A,ADG_1,AD_あ,1626173,226721,2053900742,15260,143845833
2025/01/07,CPN_A,ADG_2,AD_い,2758711,573280,1838601097,41494,334180928
2025/01/07,CPN_B,ADG_3,AD_う,1324632,288606,897353686,14461,130882695
2025/01/07,CPN_B,ADG_3,AD_え,1430089,97944,1363835449,6685,50082698
2025/01/07,CPN_C,ADG_4,AD_お,1318304,247949,1359496028,19320,227186214
2025/01/08,CPN_A,ADG_1,AD_あ,1083007,209957,1392250110,4143,42601548
2025/01/08,CPN_A,ADG_2,AD_い,2588024,259777,3777611478,3091,39893990
2025/01/08,CPN_B,ADG_3,AD_う,2856164,590570,4032892860,23464,119813730
2025/01/08,CPN_B,ADG_3,AD_え,2656964,144020,3344123069,4198,21060285
2025/01/08,CPN_C,ADG_4,AD_お,2307913,386659,1464811460,21691,208434401
2025/01/09,CPN_A,ADG_1,AD_あ,2983918,372601,2627766199,33736,116729976
2025/01/09,CPN_A,ADG_2,AD_い,2641082,454207,3959088875,31497,315289272
2025/01/09,CPN_B,ADG_3,AD_う,1477026,310757,924010657,24332,146876341
2025/01/09,CPN_B,ADG_3,AD_え,1110869,188579,1415204405,10609,83361585
2025/01/09,CPN_C,ADG_4,AD_お,2576483,305704,3746046431,11220,89251740
2025/01/10,CPN_A,ADG_1,AD_あ,2955139,583770,2520727824,50540,651992871
2025/01/10,CPN_A,ADG_2,AD_い,2218660,193569,2529893451,11689,97260867
2025/01/10,CPN_B,ADG_3,AD_う,1477894,336283,1148785727,8831,28717909
2025/01/10,CPN_B,ADG_3,AD_え,1709658,383303,1753046248,34386,124737778
2025/01/10,CPN_C,ADG_4,AD_お,1947534,139109,1865601470,11756,45906008
2025/01/11,CPN_A,ADG_1,AD_あ,1699267,292332,1077135391,12979,150995067
2025/01/11,CPN_A,ADG_2,AD_い,2290562,413676,3282312913,32360,272738930
2025/01/11,CPN_B,ADG_3,AD_う,2683656,549593,3724527687,11864,112707968
2025/01/11,CPN_B,ADG_3,AD_え,2998690,232766,3290407270,16564,145852482
2025/01/11,CPN_C,ADG_4,AD_お,2934917,201763,3124340925,21730,215835954
2025/01/12,CPN_A,ADG_1,AD_あ,2834272,354854,2520605246,10127,65834589
2025/01/12,CPN_A,ADG_2,AD_い,1647502,87231,1296093212,6589,66864793
2025/01/12,CPN_B,ADG_3,AD_う,1708105,129368,1549063389,9579,64569157
2025/01/12,CPN_B,ADG_3,AD_え,2126096,283317,3142008908,4704,48616640
2025/01/12,CPN_C,ADG_4,AD_お,1188783,222676,1762085161,12483,56855956
2025/01/13,CPN_A,ADG_1,AD_あ,1768702,281648,2494309283,18959,201433092
2025/01/13,CPN_A,ADG_2,AD_い,2439065,206684,3425612156,2871,24470789
2025/01/13,CPN_B,ADG_3,AD_う,2705773,166865,2124471398,6291,67318147
2025/01/13,CPN_B,ADG_3,AD_え,1698363,142974,2368816765,10399,88819577
2025/01/13,CPN_C,ADG_4,AD_お,1555594,375782,1616527079,7055,82617974
2025/01/14,CPN_A,ADG_1,AD_あ,2759166,516213,3251032013,54671,586910361
2025/01/14,CPN_A,ADG_2,AD_い,1693499,305445,1043683490,28920,319581080
2025/01/14,CPN_B,ADG_3,AD_う,2017708,275989,2514371588,14574,51039023
2025/01/14,CPN_B,ADG_3,AD_え,2584882,215748,3589317670,20897,260788001
2025/01/14,CPN_C,ADG_4,AD_お,2695636,474512,2033276485,8148,57795504
2025/01/15,CPN_A,ADG_1,AD_あ,1507448,245775,2077240101,6966,31585611
2025/01/15,CPN_A,ADG_2,AD_い,1591086,87817,1886205164,3411,28227844
2025/01/15,CPN_B,ADG_3,AD_う,2826313,240230,3726326693,9248,118557298
2025/01/15,CPN_B,ADG_3,AD_え,2367047,310960,2438271583,33411,175252633
2025/01/15,CPN_C,ADG_4,AD_お,2857038,237429,3737786580,3241,22557468
2025/01/16,CPN_A,ADG_1,AD_あ,1846058,248710,1980444083,23097,101585612
2025/01/16,CPN_A,ADG_2,AD_い,1258396,114380,1271872306,5953,71275862
2025/01/16,CPN_B,ADG_3,AD_う,2258085,515264,2398184243,55263,226941478
2025/01/16,CPN_B,ADG_3,AD_え,1371935,135672,1034415713,5041,50286495
2025/01/16,CPN_C,ADG_4,AD_お,1869378,135971,1629554265,12108,58217793
2025/01/17,CPN_A,ADG_1,AD_あ,2533536,324167,3586843737,32207,336540108
2025/01/17,CPN_A,ADG_2,AD_い,1171607,185030,1668303082,7759,31910638
2025/01/17,CPN_B,ADG_3,AD_う,2218975,143969,2483471627,5814,69332740
2025/01/17,CPN_B,ADG_3,AD_え,1881568,459775,1784135711,23425,212820950
2025/01/17,CPN_C,ADG_4,AD_お,1077890,169641,814724516,13403,156808107
2025/01/18,CPN_A,ADG_1,AD_あ,1722318,297900,1406690544,27772,288346061
2025/01/18,CPN_A,ADG_2,AD_い,1116733,182771,1042028116,16525,200797166
2025/01/18,CPN_B,ADG_3,AD_う,2437934,389938,1397207875,7977,67990531
2025/01/18,CPN_B,ADG_3,AD_え,2200718,280947,1409340968,14315,98260465
2025/01/18,CPN_C,ADG_4,AD_お,2128954,326208,1282067447,32938,219275783
2025/01/19,CPN_A,ADG_1,AD_あ,2878170,177144,3649476404,8439,75936342
2025/01/19,CPN_A,ADG_2,AD_い,1957684,328686,1094684336,35676,216925285
2025/01/19,CPN_B,ADG_3,AD_う,1539944,153300,2148093835,10024,106017991
2025/01/19,CPN_B,ADG_3,AD_え,2016947,479215,2940397809,22419,136872351
2025/01/19,CPN_C,ADG_4,AD_お,1894995,198695,2466475332,12397,113979240
2025/01/20,CPN_A,ADG_1,AD_あ,2919060,185364,1837234766,3397,11577491
2025/01/20,CPN_A,ADG_2,AD_い,1485113,307963,795266291,26121,217405653
2025/01/20,CPN_B,ADG_3,AD_う,2961130,186191,4163533436,5339,19269320
2025/01/20,CPN_B,ADG_3,AD_え,2823075,266951,3282455154,12578,80527919
2025/01/20,CPN_C,ADG_4,AD_お,1857296,218971,1501995872,10968,104928226
2025/01/21,CPN_A,ADG_1,AD_あ,2095856,249881,1949877021,4269,26387612
2025/01/21,CPN_A,ADG_2,AD_い,1578118,172976,1668646658,5387,69984654
2025/01/21,CPN_B,ADG_3,AD_う,2136440,435014,2831443678,16919,164733434
2025/01/21,CPN_B,ADG_3,AD_え,2163486,325960,1859034055,30825,117330811
2025/01/21,CPN_C,ADG_4,AD_お,2473451,157795,2676062216,17236,205205258
2025/01/22,CPN_A,ADG_1,AD_あ,2120552,141375,2175130061,2651,31188703
2025/01/22,CPN_A,ADG_2,AD_い,2188129,512661,1580948476,45208,398857569
2025/01/22,CPN_B,ADG_3,AD_う,1606318,378292,864634591,36403,284570506
2025/01/22,CPN_B,ADG_3,AD_え,2545027,514897,2890232494,45086,552088591
2025/01/22,CPN_C,ADG_4,AD_お,2730530,261151,3067940566,8557,47152570
2025/01/23,CPN_A,ADG_1,AD_あ,2949315,154030,4253246119,12956,137129901
2025/01/23,CPN_A,ADG_2,AD_い,2484922,125419,3098219514,2664,29972778
2025/01/23,CPN_B,ADG_3,AD_う,2784365,395289,1881955548,26638,137948748
2025/01/23,CPN_B,ADG_3,AD_え,2777049,558190,3122220808,28168,103184378
2025/01/23,CPN_C,ADG_4,AD_お,2693871,213545,3591351118,11519,50215284
2025/01/24,CPN_A,ADG_1,AD_あ,1369932,222726,2000724327,21446,171065581
2025/01/24,CPN_A,ADG_2,AD_い,2520273,278078,2784063766,27118,197766857
2025/01/24,CPN_B,ADG_3,AD_う,2032439,393679,1204723929,29248,254688246
2025/01/24,CPN_B,ADG_3,AD_え,1553728,278198,1717322199,15311,94414493
2025/01/24,CPN_C,ADG_4,AD_お,1501187,106750,1777183764,10022,95631744
2025/01/25,CPN_A,ADG_1,AD_あ,2172903,305425,3075120134,15068,89310858
2025/01/25,CPN_A,ADG_2,AD_い,1835286,318202,966189149,17326,191495134
2025/01/25,CPN_B,ADG_3,AD_う,1091075,138707,583045118,1560,15594831
2025/01/25,CPN_B,ADG_3,AD_え,2084302,468648,1158872598,12810,84638821
2025/01/25,CPN_C,ADG_4,AD_お,1010363,154530,1486268024,16659,215019997
2025/01/26,CPN_A,ADG_1,AD_あ,1842459,457781,2442040897,5620,71134763
2025/01/26,CPN_A,ADG_2,AD_い,2816673,343400,3383822245,11159,43129571
2025/01/26,CPN_B,ADG_3,AD_う,2964714,223861,1920353839,18883,165096328
2025/01/26,CPN_B,ADG_3,AD_え,1832428,112043,2710405983,8166,95461477
2025/01/26,CPN_C,ADG_4,AD_お,1490404,243559,1361936023,5958,20690911
2025/01/27,CPN_A,ADG_1,AD_あ,2929234,184680,2302873905,17786,194872281
2025/01/27,CPN_A,ADG_2,AD_い,2456576,326556,3535596101,23525,186291994
2025/01/27,CPN_B,ADG_3,AD_う,1365100,245305,1648320612,8234,103596460
2025/01/27,CPN_B,ADG_3,AD_え,2865983,599401,1930070641,28881,176032976
2025/01/27,CPN_C,ADG_4,AD_お,1459046,292647,1917858476,18439,218081044
2025/01/28,CPN_A,ADG_1,AD_あ,2465254,362813,2324470067,24681,277544331
2025/01/28,CPN_A,ADG_2,AD_い,2089212,134858,1331742935,4604,52054953
2025/01/28,CPN_B,ADG_3,AD_う,1329670,73015,1619350361,1171,6674865
2025/01/28,CPN_B,ADG_3,AD_え,1469694,354890,1340349882,15116,177260240
2025/01/28,CPN_C,ADG_4,AD_お,2465986,390838,3565103188,28388,116150130
2025/01/29,CPN_A,ADG_1,AD_あ,1728261,137133,2014651110,1699,7909240
2025/01/29,CPN_A,ADG_2,AD_い,1939030,309103,1811630149,32831,139956028
2025/01/29,CPN_B,ADG_3,AD_う,2004974,178660,1123302334,5464,45652274
2025/01/29,CPN_B,ADG_3,AD_え,2387576,545075,2114080293,19118,106638220
2025/01/29,CPN_C,ADG_4,AD_お,2685046,664994,3150847869,35110,113203572
2025/01/30,CPN_A,ADG_1,AD_あ,1487971,287949,970601733,28243,292965987
2025/01/30,CPN_A,ADG_2,AD_い,1063751,92427,1134412726,7628,70334059
2025/01/30,CPN_B,ADG_3,AD_う,1998863,384468,2890248378,31986,147406583
2025/01/30,CPN_B,ADG_3,AD_え,1343709,167912,1030049092,10821,57210645
2025/01/30,CPN_C,ADG_4,AD_お,1807330,431848,1372082400,24369,207391776
2025/01/31,CPN_A,ADG_1,AD_あ,2043761,284139,1965641809,29139,130873445
2025/01/31,CPN_A,ADG_2,AD_い,1006992,163335,563573092,3361,20568178
2025/01/31,CPN_B,ADG_3,AD_う,2343177,243543,1772757159,15293,118828686
2025/01/31,CPN_B,ADG_3,AD_え,1864948,400125,1073947830,19375,88722415
2025/01/31,CPN_C,ADG_4,AD_お,2816028,533425,3731150309,42566,460291526
2025/02/01,CPN_A,ADG_1,AD_あ,1750369,247995,1118938354,16752,67242830
2025/02/01,CPN_A,ADG_2,AD_い,1679979,257238,841420019,27636,275328168
2025/02/01,CPN_B,ADG_3,AD_う,2158458,488055,1793780241,42326,325305103
2025/02/01,CPN_B,ADG_3,AD_え,2874778,154757,1696212543,2894,11203991
2025/02/01,CPN_C,ADG_4,AD_お,1105506,245515,1133212385,3262,30590228
2025/02/02,CPN_A,ADG_1,AD_あ,2812877,227416,2949968650,5362,16783897
2025/02/02,CPN_A,ADG_2,AD_い,2911584,394377,1826305476,43112,503820979
2025/02/02,CPN_B,ADG_3,AD_う,2853449,345511,3548564161,25484,322929809
2025/02/02,CPN_B,ADG_3,AD_え,2025769,351263,1684449828,5292,52949974
2025/02/02,CPN_C,ADG_4,AD_お,1818662,391924,2093069391,5601,25223058
2025/02/03,CPN_A,ADG_1,AD_あ,1664838,335240,2296226336,17475,67446678
2025/02/03,CPN_A,ADG_2,AD_い,2105586,349201,1983454247,6166,39992056
2025/02/03,CPN_B,ADG_3,AD_う,1991410,115822,1201437028,3213,32142204
2025/02/03,CPN_B,ADG_3,AD_え,1087973,106262,1176328522,5570,40430936
2025/02/03,CPN_C,ADG_4,AD_お,1994072,313950,1642186890,13801,168600962
2025/02/04,CPN_A,ADG_1,AD_あ,2020105,501738,1991497297,21421,132873697
2025/02/04,CPN_A,ADG_2,AD_い,1574051,252699,1496489986,18082,113638634
2025/02/04,CPN_B,ADG_3,AD_う,2051899,392155,1832435517,10387,94028911
2025/02/04,CPN_B,ADG_3,AD_え,1295422,208286,1744901442,11457,85000854
2025/02/04,CPN_C,ADG_4,AD_お,1273636,275201,1628449229,5473,29618406
2025/02/05,CPN_A,ADG_1,AD_あ,1305136,320025,813805887,15866,193426242
2025/02/05,CPN_A,ADG_2,AD_い,1994625,272781,1367284202,28156,293764061
2025/02/05,CPN_B,ADG_3,AD_う,1842760,130659,1038002505,7834,78727834
2025/02/05,CPN_B,ADG_3,AD_え,2318344,155535,2004927513,2721,35328334
2025/02/05,CPN_C,ADG_4,AD_お,1086709,150992,874202359,16251,114727657
2025/02/06,CPN_A,ADG_1,AD_あ,2134285,208081,1475486131,12665,139518679
2025/02/06,CPN_A,ADG_2,AD_い,1653853,164428,2113714031,5690,51627492
2025/02/06,CPN_B,ADG_3,AD_う,2061825,387439,1845995713,4358,35499595
2025/02/06,CPN_B,ADG_3,AD_え,1494165,93413,1128433050,8285,38603032
2025/02/06,CPN_C,ADG_4,AD_お,1843691,132155,948399506,5560,31724297
2025/02/07,CPN_A,ADG_1,AD_あ,2093990,437669,1520447590,39774,506441026
2025/02/07,CPN_A,ADG_2,AD_い,1916389,450565,2679453288,46143,508790887
2025/02/07,CPN_B,ADG_3,AD_う,2494495,576361,3324661881,41324,522522189
2025/02/07,CPN_B,ADG_3,AD_え,1134514,101037,728535177,7361,40057758
2025/02/07,CPN_C,ADG_4,AD_お,1600938,214298,1984258122,14898,131181592
2025/02/08,CPN_A,ADG_1,AD_あ,1178245,230239,646101541,22186,147050300
2025/02/08,CPN_A,ADG_2,AD_い,2339832,440762,3059036078,44141,434080664
2025/02/08,CPN_B,ADG_3,AD_う,2342977,340773,3369832645,32411,225180706
2025/02/08,CPN_B,ADG_3,AD_え,1432649,206520,1876310011,10682,77085999
2025/02/08,CPN_C,ADG_4,AD_お,1042790,134411,1275760533,11369,87508436
2025/02/09,CPN_A,ADG_1,AD_あ,1694964,244041,1459476823,24382,196052878
2025/02/09,CPN_A,ADG_2,AD_い,2332063,422193,2753215987,27026,102637370
2025/02/09,CPN_B,ADG_3,AD_う,1919227,160473,2582867944,3461,14926084
2025/02/09,CPN_B,ADG_3,AD_え,2470429,190140,1256103211,3024,37964106
2025/02/09,CPN_C,ADG_4,AD_お,1418805,341854,1593348329,19656,205035618
2025/02/10,CPN_A,ADG_1,AD_あ,2464682,399611,3330217081,27553,185611301
2025/02/10,CPN_A,ADG_2,AD_い,2343240,402239,3036887462,44080,209816538
2025/02/10,CPN_B,ADG_3,AD_う,1588039,316828,2336236383,12321,88752876
2025/02/10,CPN_B,ADG_3,AD_え,2843608,565387,3144485315,45404,405488371
2025/02/10,CPN_C,ADG_4,AD_お,1104229,206649,1444410464,9652,44834741
2025/02/11,CPN_A,ADG_1,AD_あ,2277530,411895,1600210229,30715,122209336
2025/02/11,CPN_A,ADG_2,AD_い,1344405,262377,1298185867,12320,87408251
2025/02/11,CPN_B,ADG_3,AD_う,2882090,425898,2731923041,37618,342025892
2025/02/11,CPN_B,ADG_3,AD_え,2463362,259150,1657098799,17913,157702433
2025/02/11,CPN_C,ADG_4,AD_お,2977284,224483,2048590930,7910,89722675
2025/02/12,CPN_A,ADG_1,AD_あ,1733645,93573,2503858391,5595,72400751
2025/02/12,CPN_A,ADG_2,AD_い,2841412,279305,2666158404,26102,312990741
2025/02/12,CPN_B,ADG_3,AD_う,2248846,470681,2815226684,48906,595098238
2025/02/12,CPN_B,ADG_3,AD_え,2253158,513645,1879766607,23951,285036718
2025/02/12,CPN_C,ADG_4,AD_お,1058869,204932,801633487,6262,41254529
2025/02/13,CPN_A,ADG_1,AD_あ,1434332,252139,2011195105,26918,248503340
2025/02/13,CPN_A,ADG_2,AD_い,2739714,399227,2959269880,26712,327746821
2025/02/13,CPN_B,ADG_3,AD_う,1144870,137077,1039844776,3684,45445770
2025/02/13,CPN_B,ADG_3,AD_え,1428985,339655,1000879920,26121,197959092
2025/02/13,CPN_C,ADG_4,AD_お,1151626,103227,1335206002,7928,70906698
2025/02/14,CPN_A,ADG_1,AD_あ,1687969,114330,2053132991,12225,134994593
2025/02/14,CPN_A,ADG_2,AD_い,1669729,288128,1525180284,22847,115040794
2025/02/14,CPN_B,ADG_3,AD_う,2964800,329433,1900729590,31499,263269913
2025/02/14,CPN_B,ADG_3,AD_え,2896261,300975,2705875296,30925,240233429
2025/02/14,CPN_C,ADG_4,AD_お,2745505,147889,3449545245,13308,98330389
2025/02/15,CPN_A,ADG_1,AD_あ,1938158,120919,1938763463,2653,33789835
2025/02/15,CPN_A,ADG_2,AD_い,1036253,148935,917504290,5328,33229057
2025/02/15,CPN_B,ADG_3,AD_う,2578573,592867,2035385929,50402,315528329
2025/02/15,CPN_B,ADG_3,AD_え,1997867,219136,2270280114,17321,149310935
2025/02/15,CPN_C,ADG_4,AD_お,2008332,239678,2727383505,7733,38485706
2025/02/16,CPN_A,ADG_1,AD_あ,1260815,132896,743440877,9736,31339108
2025/02/16,CPN_A,ADG_2,AD_い,1233074,86717,1708282199,6316,81464793
2025/02/16,CPN_B,ADG_3,AD_う,1624943,125020,1119459216,4651,23457405
2025/02/16,CPN_B,ADG_3,AD_え,2994659,697111,3970118023,26492,179393765
2025/02/16,CPN_C,ADG_4,AD_お,1963808,245003,1797903957,12408,131462444
2025/02/17,CPN_A,ADG_1,AD_あ,1141315,126394,715535742,5518,27142503
2025/02/17,CPN_A,ADG_2,AD_い,1710608,145447,1013868878,2588,20465275
2025/02/17,CPN_B,ADG_3,AD_う,1149869,285739,704500656,10583,99768491
2025/02/17,CPN_B,ADG_3,AD_え,1334587,113076,1097117380,2363,8923299
2025/02/17,CPN_C,ADG_4,AD_お,2431575,185517,2538803452,18956,238507210
2025/02/18,CPN_A,ADG_1,AD_あ,2787816,549592,2241679425,23605,110906778
2025/02/18,CPN_A,ADG_2,AD_い,1908096,324968,1328868388,35375,109775382
2025/02/18,CPN_B,ADG_3,AD_う,2608235,348091,3536761344,21138,90938702
2025/02/18,CPN_B,ADG_3,AD_え,1674966,417596,1811672401,7642,54681952
2025/02/18,CPN_C,ADG_4,AD_お,2832575,643166,3682076984,9011,65867061
2025/02/19,CPN_A,ADG_1,AD_あ,2206385,353086,2604319718,31105,338551579
2025/02/19,CPN_A,ADG_2,AD_い,1260633,252865,696898739,25266,256326989
2025/02/19,CPN_B,ADG_3,AD_う,2108875,377066,2782557573,12333,146694523
2025/02/19,CPN_B,ADG_3,AD_え,1109702,147003,1080330042,6100,49119031
2025/02/19,CPN_C,ADG_4,AD_お,2794655,467048,3171470497,49814,224499829
2025/02/20,CPN_A,ADG_1,AD_あ,1425443,95581,1558883312,4470,55920021
2025/02/20,CPN_A,ADG_2,AD_い,2292490,465400,1220554658,21652,207708772
2025/02/20,CPN_B,ADG_3,AD_う,1525203,193394,1260703746,5862,32905253
2025/02/20,CPN_B,ADG_3,AD_え,1699205,363011,2075097363,27263,343194196
2025/02/20,CPN_C,ADG_4,AD_お,2524791,507232,1706294283,38782,277500480
2025/02/21,CPN_A,ADG_1,AD_あ,2235486,120251,3155987130,9253,91824661
2025/02/21,CPN_A,ADG_2,AD_い,1954572,183642,2298743811,19585,158810686
2025/02/21,CPN_B,ADG_3,AD_う,1522456,167431,1070047632,11099,35947372
2025/02/21,CPN_B,ADG_3,AD_え,1451091,351049,944495040,31377,342662614
2025/02/21,CPN_C,ADG_4,AD_お,1339781,153265,961685179,16080,75349787
2025/02/22,CPN_A,ADG_1,AD_あ,1393271,332970,2031835475,9000,28849561
2025/02/22,CPN_A,ADG_2,AD_い,2841676,237635,3650681426,20110,86036599
2025/02/22,CPN_B,ADG_3,AD_う,2545688,241518,2184088679,9433,91317889
2025/02/22,CPN_B,ADG_3,AD_え,2855590,177713,1741836318,11116,104040151
2025/02/22,CPN_C,ADG_4,AD_お,1715089,278757,2318137146,18723,110380651
2025/02/23,CPN_A,ADG_1,AD_あ,1612028,105772,1759073112,5590,33113855
2025/02/23,CPN_A,ADG_2,AD_い,1090684,80631,806689767,6125,74443398
2025/02/23,CPN_B,ADG_3,AD_う,2976839,725689,2709486496,78708,384071422
2025/02/23,CPN_B,ADG_3,AD_え,1326041,143410,1807991170,6947,90166401
2025/02/23,CPN_C,ADG_4,AD_お,2184344,433422,2165520240,10804,138054694
2025/02/24,CPN_A,ADG_1,AD_あ,2063524,475163,1577671071,25000,129052065
2025/02/24,CPN_A,ADG_2,AD_い,1187327,238541,1299345974,4070,18133691
2025/02/24,CPN_B,ADG_3,AD_う,2065921,410813,1510752502,9571,91465276
2025/02/24,CPN_B,ADG_3,AD_え,1315633,137188,1198006928,5264,22278039
2025/02/24,CPN_C,ADG_4,AD_お,2499618,225810,2253173995,19795,194640248
2025/02/25,CPN_A,ADG_1,AD_あ,2017862,194298,1774092157,12522,80255031
2025/02/25,CPN_A,ADG_2,AD_い,2336571,123796,3438764780,13275,91748428
2025/02/25,CPN_B,ADG_3,AD_う,2380368,438430,1740301324,22939,113925050
2025/02/25,CPN_B,ADG_3,AD_え,2966471,397167,4121427156,36784,181974997
2025/02/25,CPN_C,ADG_4,AD_お,2985895,507695,4101409250,14141,78001488
2025/02/26,CPN_A,ADG_1,AD_あ,2625382,654469,1784265336,9716,29561649
2025/02/26,CPN_A,ADG_2,AD_い,2883226,305049,2524736824,23998,243617912
2025/02/26,CPN_B,ADG_3,AD_う,1373513,342088,1830604133,7912,25384956
2025/02/26,CPN_B,ADG_3,AD_え,1163059,233243,1043585409,6606,80209549
2025/02/26,CPN_C,ADG_4,AD_お,2344507,228100,1702267665,6842,46558262
2025/02/27,CPN_A,ADG_1,AD_あ,2328983,191142,1615269359,19613,62020156
2025/02/27,CPN_A,ADG_2,AD_い,2625010,304545,1868136010,8788,75028766
2025/02/27,CPN_B,ADG_3,AD_う,1552277,372128,1141247408,13736,145221401
2025/02/27,CPN_B,ADG_3,AD_え,1220702,74964,1017634364,1209,4997907
2025/02/27,CPN_C,ADG_4,AD_お,1522877,217668,2016115220,23183,165118707
2025/02/28,CPN_A,ADG_1,AD_あ,2469138,471602,3068318663,19220,147545654
2025/02/28,CPN_A,ADG_2,AD_い,2255001,554515,2913354656,18644,100380037
2025/02/28,CPN_B,ADG_3,AD_う,2347671,436307,1450226265,22580,229019360
2025/02/28,CPN_B,ADG_3,AD_え,2454829,389502,1958706301,21858,119535791
2025/02/28,CPN_C,ADG_4,AD_お,1304522,116956,1504889841,6169,45355718
2025/03/01,CPN_A,ADG_1,AD_あ,2270416,561600,3037658715,31022,230370524
2025/03/01,CPN_A,ADG_2,AD_い,1452259,250186,833441250,14572,58453507
2025/03/01,CPN_B,ADG_3,AD_う,2063459,178029,1568497875,14583,158143280
2025/03/01,CPN_B,ADG_3,AD_え,1676230,169827,2245627745,4395,39805229
2025/03/01,CPN_C,ADG_4,AD_お,1692315,229134,2197156872,21377,193825467
2025/03/02,CPN_A,ADG_1,AD_あ,1927754,334218,2245205959,24175,110170993
2025/03/02,CPN_A,ADG_2,AD_い,1380960,247395,1847508438,22229,135848184
2025/03/02,CPN_B,ADG_3,AD_う,1726422,181693,965852194,12248,86912408
2025/03/02,CPN_B,ADG_3,AD_え,1055640,113718,871222137,12132,141969498
2025/03/02,CPN_C,ADG_4,AD_お,1752064,144884,1949750327,15077,46824473
2025/03/03,CPN_A,ADG_1,AD_あ,1827426,229370,2501153160,15083,91052385
2025/03/03,CPN_A,ADG_2,AD_い,1960541,206572,2543246248,3046,36445265
2025/03/03,CPN_B,ADG_3,AD_う,2633548,424709,3201893906,40223,290363791
2025/03/03,CPN_B,ADG_3,AD_え,2535428,316872,1885527436,3968,27281470
2025/03/03,CPN_C,ADG_4,AD_お,2753337,172485,3877831265,16436,54412838
2025/03/04,CPN_A,ADG_1,AD_あ,2348182,356333,1574771110,30156,312295000
2025/03/04,CPN_A,ADG_2,AD_い,1597159,109067,940997311,3917,35633121
2025/03/04,CPN_B,ADG_3,AD_う,2631829,212888,1936060671,5585,58421918
2025/03/04,CPN_B,ADG_3,AD_え,2721479,411897,1861368236,44342,351719021
2025/03/04,CPN_C,ADG_4,AD_お,2998403,525026,3878614666,16677,85756423
2025/03/05,CPN_A,ADG_1,AD_あ,1123996,180141,1262471185,6405,52166044
2025/03/05,CPN_A,ADG_2,AD_い,1500191,174499,2154401824,5731,29913651
2025/03/05,CPN_B,ADG_3,AD_う,1474626,131864,2110173024,8610,40730484
2025/03/05,CPN_B,ADG_3,AD_え,2432530,546918,3206538263,53507,187580395
2025/03/05,CPN_C,ADG_4,AD_お,2777437,531228,2949792822,21432,267232332
2025/03/06,CPN_A,ADG_1,AD_あ,1315914,169401,1287645392,10794,68273529
2025/03/06,CPN_A,ADG_2,AD_い,2052947,395702,1768530324,25341,248618217
